
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            13144 Console                    1      9,996 K
msedgewebview2.exe           18668 Console                    1      7,936 K
msedgewebview2.exe           17392 Console                    1      6,772 K
msedgewebview2.exe           16540 Console                    1     10,036 K
msedgewebview2.exe           13812 Console                    1     13,748 K
msedgewebview2.exe           18816 Console                    1     14,612 K
msedgewebview2.exe           12584 Console                    1     14,244 K
chrome.exe                   15828 Console                    1     72,100 K
pwsh.exe                     20116 Console                    1     25,472 K
conhost.exe                  19036 Console                    1     16,744 K
cmd.exe                       1180 Console                    1     16,168 K
conhost.exe                   8820 Console                    1     14,228 K
pwsh.exe                     17304 Console                    1     25,760 K
conhost.exe                  13644 Console                    1     14,420 K
powershell.exe               21964 Console                    1     46,852 K
conhost.exe                  14452 Console                    1     15,124 K
mmc.exe                      22992 Console                    1     12,280 K
pwsh.exe                     23176 Console                    1     24,592 K
conhost.exe                  23172 Console                    1     16,768 K
cmd.exe                      13836 Console                    1     13,704 K
conhost.exe                  22692 Console                    1     14,444 K
pwsh.exe                     11348 Console                    1     20,500 K
conhost.exe                  10544 Console                    1     16,440 K
MusNotifyIcon.exe            24336 Console                    1        376 K
notepad.exe                  23740 Console                    1     25,128 K
PeopleApp.exe                20296 Console                    1     31,608 K
RuntimeBroker.exe             7288 Console                    1     17,188 K
SystemSettings.exe            9448 Console                    1     80,320 K
dllhost.exe                  18620 Services                   0      8,112 K
UserOOBEBroker.exe           24156 Console                    1      8,824 K
msedge.exe                   21740 Console                    1    105,516 K
msedge.exe                   17204 Console                    1     83,316 K
WUDFHost.exe                 20000 Services                   0      7,716 K
pwsh.exe                      2872 Console                    1     47,568 K
conhost.exe                  20844 Console                    1     12,640 K
RuntimeBroker.exe            16388 Console                    1     28,012 K
ScreenSketch.exe             23456 Console                    1     54,376 K
msedge.exe                    9228 Console                    1     90,684 K
Code.exe                     23660 Console                    1     52,504 K
Clipchamp.exe                23656 Console                    1     48,564 K
msedgewebview2.exe           10820 Console                    1     67,996 K
msedgewebview2.exe           17768 Console                    1      8,328 K
msedgewebview2.exe           20028 Console                    1     44,096 K
msedgewebview2.exe           21780 Console                    1     31,568 K
msedgewebview2.exe           22284 Console                    1     15,844 K
msedgewebview2.exe           22468 Console                    1    114,768 K
msedgewebview2.exe           24480 Console                    1     19,028 K
explorer.exe                 20776 Console                    1    130,476 K
SearchApp.exe                16820 Console                    1     47,756 K
StartMenuExperienceHost.e    17748 Console                    1     66,436 K
TextInputHost.exe            10140 Console                    1     48,664 K
ShellExperienceHost.exe      13988 Console                    1     48,600 K
PeopleExperienceHost.exe      9940 Console                    1     40,304 K
WinStore.App.exe             15924 Console                    1     94,448 K
RuntimeBroker.exe             3308 Console                    1     28,588 K
svchost.exe                   1728 Console                    1     13,672 K
RuntimeBroker.exe            24208 Console                    1     19,044 K
WindowsPackageManagerServ    13908 Console                    1     24,668 K
Code.exe                     17296 Console                    1     43,580 K
smartscreen.exe              22084 Console                    1     25,644 K
msedge.exe                   14324 Console                    1     74,260 K
SearchApp.exe                14032 Console                    1     80,908 K
msedge.exe                   18880 Console                    1     30,644 K
msedge.exe                   21992 Console                    1     28,448 K
msedge.exe                   11684 Console                    1     28,468 K
msedge.exe                   23704 Console                    1     41,420 K
svchost.exe                   7908 Services                   0      8,060 K
chrome.exe                   21356 Console                    1     75,388 K
msedge.exe                   22872 Console                    1     27,692 K
svchost.exe                   7564 Services                   0     11,896 K
audiodg.exe                  12296 Services                   0      8,736 K
pwsh.exe                     16696 Console                    1     92,704 K
conhost.exe                  19608 Console                    1     17,476 K
chrome.exe                    7628 Console                    1     51,228 K
chrome.exe                   22736 Console                    1     32,016 K
tasklist.exe                 21636 Console                    1      9,776 K
WmiPrvSE.exe                 22420 Services                   0     10,808 K
